# qubits,ave_fault,ave_time
2,0.323,0.0027555692195892333
3,0.102,0.0028519275188446046
4,0.066,0.0029683852195739745
5,0.049,0.003056589365005493
6,0.052,0.003160097599029541
7,0.05,0.0032704763412475584
8,0.039,0.0033821263313293455
9,0.038,0.003476663112640381
10,0.044,0.0036488571166992186
11,0.041,0.0038087375164031984
12,0.044,0.004029266357421875
