# qubits,ave_fault,ave_time
2,1.0,0.004060498714447022
3,0.996,0.004357400894165039
4,0.656,0.004636466979980469
5,0.219,0.004922944784164429
6,0.091,0.005253349304199219
7,0.05,0.005477295398712158
8,0.05,0.005874118328094482
9,0.054,0.006411268472671509
10,0.048,0.007033056020736695
11,0.046,0.007652776479721069
12,0.056,0.008265091180801392
