# qubits,ave_fault,ave_time
2,0.998,0.005895636081695557
3,0.995,0.006113587141036987
4,0.999,0.0031931402683258057
5,0.997,0.009969653844833374
6,0.999,0.02023817586898804
7,0.994,0.006998962163925171
8,0.997,0.007160328149795532
9,0.998,0.021822568655014037
10,0.996,0.030048521280288697
11,0.997,0.019315437316894533
12,0.994,0.0316319785118103
