# qubits,ave_fault,ave_time
2,1.0,0.01723662829399109
3,1.0,0.01913998508453369
4,1.0,0.020755958318710327
5,0.964,0.022776493072509764
6,0.479,0.024660027742385866
7,0.161,0.026437992334365844
8,0.074,0.02852826905250549
9,0.054,0.031197667360305787
10,0.062,0.03364164519309998
11,0.046,0.03646810531616211
12,0.044,0.04042859077453613
