# qubits,ave_fault,ave_time
2,0.934,0.003104783296585083
3,0.948,0.006155275106430054
4,0.945,0.012539945840835572
5,0.951,0.01618295764923096
6,0.942,0.01082409143447876
7,0.938,0.011343141317367553
8,0.937,0.01191552734375
9,0.943,0.03317521476745605
10,0.935,0.019804675340652465
11,0.942,0.02749702215194702
12,0.936,0.02108187985420227
